title_keywords,abstract_keywords
社会机器人，智能体与交互，智慧教育,智慧教育；社会机器人；多模态感知；智能体与交互；自适应机制；以人为本设计
智慧教育，智能体与交互，强化学习,智慧教育；多模态感知；强化学习；自适应机制；系统性能指标
社会机器人，智慧教育，智能体与交互,社会机器人；智慧教育；智能体与交互；多模态感知；自适应机制；以人为本设计
智慧教育，多模态感知，智能体与交互,智慧教育；多模态感知；自然语言处理；计算机视觉；以人为本设计；自适应机制；系统性能指标
社会机器人，以人为本设计，智能体与交互,智慧养老；多模态感知；智能体与交互；以人为本设计；自适应机制；系统性能指标
智慧养老，多模态感知，以人为本设计,智慧养老；多模态感知；智能体与交互；以人为本设计；智能建筑与运维；系统性能指标
多模态感知，智能建筑与运维，以人为本设计,多模态感知；以人为本设计；智能建筑与运维；穿戴式传感；室内环境质量/IEQ；热/光/声环境；异构数据融合；用户体验/UX；情境感知；可持续与环境评估
智慧养老，以人为本设计，智能建筑与运维,智慧养老；以人为本设计；智能建筑与运维；数字建造与制造；可持续与环境评估；系统性能指标
智慧养老，以人为本设计，智能体与交互,智慧养老；以人为本设计；智能体与交互；多模态感知；系统性能指标；可持续与环境评估
智慧养老，生成式工作流，参数化与计算设计,智慧养老；生成式工作流；参数化与计算设计；以人为本设计；模型优化；系统性能指标
智慧养老，以人为本设计，可持续与环境评估,智慧养老；以人为本设计；可持续与环境评估；多模态感知；系统性能指标
智慧养老，以人为本设计，智能建筑与运维,智慧养老；以人为本设计；智能建筑与运维；多模态感知；系统性能指标
智慧养老，以人为本设计，智能体与交互,智慧养老；以人为本设计；智能体与交互；多模态感知；系统性能指标
城市规划与更新，智能体与交互，数字孪生与BIM,智慧城市；城市规划与更新；物联网；多模态感知；数字孪生与BIM；系统性能指标；以人为本设计；自适应机制
城市规划与更新，可持续与环境评估，智能建筑与运维,可持续与环境评估；智能建筑与运维；以人为本设计；模型优化；系统性能指标
智能体与交互，城市规划与更新，以人为本设计,城市规划与更新；智能体与交互；以人为本设计；社会机器人；可持续与环境评估
智能建筑与运维，城市规划与更新，以人为本设计,智能建筑与运维；物联网；多模态感知；城市规划与更新；以人为本设计；系统性能指标
智能建筑与运维，城市规划与更新，智能体与交互,智慧城市；城市规划与更新；智能建筑与运维；多模态感知；数字孪生与BIM；以人为本设计；可持续与环境评估
多目标跟踪，模型优化，计算机视觉,多目标跟踪；计算机视觉；模型优化；系统性能指标；自适应机制
以人为本设计，智能体与交互，多模态感知,以人为本设计；智能体与交互；多模态感知；具身智能与机器人技术；自适应机制；系统性能指标
具身智能与机器人技术，智能体与交互，城市规划与更新,具身智能与机器人技术；智能体与交互；计算机视觉；多模态感知；强化学习；自适应机制；系统性能指标
智能体与交互，以人为本设计，生成式工作流,以人为本设计；智能体与交互；生成式工作流；多模态感知；智能建筑与运维；可持续与环境评估
智能体与交互，智能建筑与运维，以人为本设计,智能建筑与运维；智能体与交互；多模态感知；自适应机制；以人为本设计
智能体与交互，智能建筑与运维，自适应机制,智能建筑与运维；智能体与交互；自适应机制；以人为本设计；系统性能指标
数字建造与制造，智能体与交互，生成式工作流,数字建造与制造；智能体与交互；多模态感知；生成式工作流；自适应机制；以人为本设计
智能体与交互，多模态感知，以人为本设计,智能体与交互；多模态感知；以人为本设计；自适应机制；系统性能指标
智能体与交互，多模态感知，自适应机制,智能体与交互；多模态感知；自适应机制；以人为本设计；系统性能指标
智能建筑与运维，多模态感知，以人为本设计,智能建筑与运维；多模态感知；计算机视觉；自适应机制；以人为本设计；系统性能指标；智慧养老；智慧教育；可持续与环境评估
社会机器人，计算机视觉，自适应机制,社会机器人；计算机视觉；自适应机制；系统性能指标；智能建筑与运维
智能体与交互，多模态感知，生成式工作流,智能体与交互；多模态感知；生成式工作流；以人为本设计；自适应机制
智能体与交互，自然语言处理，参数化与计算设计,智能体与交互；自然语言处理；参数化与计算设计；生成式工作流；多智能体；以人为本设计
智能体与交互，参数化与计算设计，生成式工作流,智能体与交互；自然语言处理；参数化与计算设计；生成式工作流；以人为本设计
参数化与计算设计，强化学习，智能体与交互,参数化与计算设计；智能体与交互；体素化；强化学习；智能建筑与运维；可持续与环境评估；生成式工作流；模型优化
具身智能与机器人技术，计算机视觉，生成式工作流,具身智能与机器人技术；计算机视觉；生成式工作流；智能体与交互；世界模型；多模态感知；模型优化；系统性能指标
参数化与计算设计，生成式工作流，计算机视觉,参数化与计算设计；生成式工作流；计算机视觉；智能体与交互；模型优化
社会机器人，强化学习，城市规划与更新,社会机器人；强化学习；智能体与交互；数字孪生与BIM；自适应机制；系统性能指标
生成式工作流，参数化与计算设计，智能体与交互,生成式工作流；参数化与计算设计；多模态感知；以人为本设计；系统性能指标
智能体与交互，数字孪生与BIM，自然语言处理,数字孪生与BIM；自然语言处理；智能体与交互；生成式工作流；以人为本设计；系统性能指标
建筑遗产保护，自然语言处理，数字孪生与BIM,建筑遗产保护；自然语言处理；数字孪生与BIM；智能体与交互；知识抽取；异构数据融合；模型优化；以人为本设计
智能体与交互，数字孪生与BIM，多模态感知,智能体与交互；数字孪生与BIM；多模态感知；计算机视觉；自然语言处理；自适应机制；系统性能指标
生成式工作流，参数化与计算设计，智能体与交互,生成式工作流；参数化与计算设计；智能体与交互；数字孪生与BIM；系统性能指标
智能体与交互，数字孪生与BIM，生成式工作流,数字孪生与BIM；智能体与交互；自然语言处理；参数化与计算设计；生成式工作流；自适应机制；系统性能指标
生成式工作流，智能体与交互，区块链与溯源,生成式工作流；智能体与交互；自然语言处理；区块链与溯源；以人为本设计；数字孪生与BIM；参数化与计算设计；系统性能指标
智能体与交互，数字孪生与BIM，自然语言处理,数字孪生与BIM；智能体与交互；自然语言处理；以人为本设计；模型优化；系统性能指标
无人机/UAV，路径规划，智能建筑与运维,社会机器人；智能建筑与运维；强化学习；数字孪生与BIM；自适应机制；系统性能指标
社会机器人，智能建筑与运维，计算机视觉,社会机器人；智能建筑与运维；计算机视觉；强化学习；自适应机制；系统性能指标
社会机器人，多模态感知，智能建筑与运维,社会机器人；多模态感知；自主导航；路径规划；数字孪生与BIM；智能建筑与运维；系统性能指标
智能体与交互，数字孪生与BIM，多模态感知,智能体与交互；数字孪生与BIM；自然语言处理；多模态感知；自适应机制；以人为本设计；系统性能指标
生成式工作流，参数化与计算设计，智能体与交互,生成式工作流；智能体与交互；参数化与计算设计；以人为本设计；系统性能指标
具身智能与机器人技术，城市规划与更新，数字孪生与BIM,具身智能与机器人技术；数字孪生与BIM；计算机视觉；自适应机制；系统性能指标；社会机器人；智能建筑与运维
具身智能与机器人技术，以人为本设计，生成式工作流,以人为本设计；生成式工作流；智能体与交互；城市规划与更新；社会机器人
具身智能与机器人技术，多模态感知，以人为本设计,具身智能与机器人技术；以人为本设计；多模态感知；生成式工作流；自适应机制；用户体验/UX
以人为本设计，智慧教育，具身智能与机器人技术,以人为本设计；智慧教育；具身智能与机器人技术；参数化与计算设计；自适应机制；可持续与环境评估
具身智能与机器人技术，以人为本设计，多模态感知,以人为本设计；多模态感知；神经建筑学；情感计算；生理传感器/EEG/EMG；用户体验/UX；室内环境质量/IEQ
多目标跟踪，模型优化，计算机视觉,多目标跟踪；智能体与交互；模型优化；计算机视觉；系统性能指标
智慧教育，具身智能与机器人技术，以人为本设计,智慧教育；具身智能与机器人技术；以人为本设计；多模态感知；生成式工作流；自适应机制
具身智能与机器人技术，智能体与交互，自适应机制,具身智能与机器人技术；智能体与交互；多模态感知；自适应机制；强化学习；系统性能指标
智能体与交互，具身智能与机器人技术，自适应机制,具身智能与机器人技术；智能体与交互；自适应机制；多模态感知；强化学习；系统性能指标
智能体与交互，数字孪生与BIM，自适应机制,智能体与交互；自适应机制；数字孪生与BIM；自然语言处理；多模态感知；以人为本设计；系统性能指标
具身智能与机器人技术，智能体与交互，多模态感知,具身智能与机器人技术；智能体与交互；多模态感知；强化学习；自适应机制；模型优化；系统性能指标
具身智能与机器人技术，智能体与交互，生成式工作流,具身智能与机器人技术；智能体与交互；生成式工作流；自然语言处理；自适应机制；系统性能指标
具身智能与机器人技术，智能体与交互，生成式工作流,具身智能与机器人技术；智能体与交互；自然语言处理；多模态感知；自适应机制；模型优化
具身智能与机器人技术，智能体与交互，强化学习,具身智能与机器人技术；智能体与交互；多模态感知；计算机视觉；强化学习；自适应机制；系统性能指标
具身智能与机器人技术，以人为本设计，智能体与交互,以人为本设计；具身智能与机器人技术；智能体与交互；自适应机制；系统性能指标
具身智能与机器人技术，以人为本设计，参数化与计算设计,以人为本设计；具身智能与机器人技术；参数化与计算设计；智能体与交互；模型优化
